from_city,to_city,distance_km,vehicle,cargo,is_peak,is_weekend,cost
Aurangabad,Ghaziabad,1254.68,18T,9,1,1,83351.65
Cuddalore,Nanded,1080.58,25T,18,0,0,80435.4
Ahmednagar,Dewas,566.11,25T,5,1,1,42300.2
Kanchipuram,Gandhinagar,1742.48,25T,12,1,1,130060.58
Kharagpur,Salem,1945.73,12T,19,1,0,103357.86
Karnal,Bengaluru,2320.59,18T,7,0,1,147837.57
Mughalsarai,Chhindwara,732.63,12T,14,0,1,39878.18
Delhi,Farrukhabad,372.42,25T,6,0,0,26922.71
Burhanpur,Gwalior,732.13,7.5T,11,1,1,34484.64
Amritsar,Mau,1440.36,25T,14,1,1,109711.57
Nizamabad,Dhule,554.71,25T,18,1,0,43504.59
Bhind,Bardhaman,1340.97,7.5T,1,0,0,59013.88
Vijayawada,Moradabad,1730.79,3.5T,16,0,1,59737.26
Thrissur,Bokaro Steel City,2285.97,25T,2,0,0,163949.9
Delhi,Malda,1597.09,18T,8,1,0,106764.17
Ongole,Gorakhpur,1628.26,7.5T,14,0,0,75971.21
Vidisha,Dhanbad,1196.93,12T,14,0,0,68676.38
Salem,Jalna,1176.94,18T,8,0,0,74934.22
Chittoor,Unnao,1858.45,25T,9,1,0,136410.9
Hardoi,Satara,1593.01,18T,2,1,1,105183.46
Ranchi,Chennai,1588.39,25T,3,0,1,119578.69
Malda,Haldwani,1331.91,25T,11,1,1,96641.66
Bathinda,Komarapalayam,2631.34,3.5T,3,1,1,96653.33
Rampur,Bahraich,395.02,3.5T,10,1,1,14558.0
Shahjahanpur,Meerut,342.05,18T,2,1,1,22079.6
Beawar,Alappuzha,2320.6,7.5T,3,0,1,108819.14
Anantapur,Bharatpur,1739.31,12T,9,1,1,95583.33
Rewa,Bokaro Steel City,683.21,12T,16,1,0,37423.93
Durg,Batala,1698.72,3.5T,10,0,0,60614.32
Rewa,Khandwa,783.3,18T,18,0,1,53327.26
Thanjavur,Tirunelveli,345.63,12T,8,0,1,19664.38
Madurai,Allahabad,2213.34,7.5T,13,1,1,99849.39
Ratlam,Allahabad,988.68,12T,2,0,0,52864.01
Bhubaneswar,Vadodara,1776.36,12T,16,1,1,98177.27
Satara,Shimla,1913.38,3.5T,14,0,1,69440.54
Agra,Noida,217.49,25T,18,0,1,17532.62
Ujjain,Dindigul,1803.57,12T,4,1,1,95405.82
Jhansi,Purnia,1236.66,7.5T,9,0,0,56679.63
Rajamahendravaram,Saharsa,1400.72,18T,9,0,1,94092.06
Dehradun,Budaun,350.89,12T,2,1,1,20454.0
Chandrapur,Allahabad,836.49,25T,18,0,0,62349.12
Hapur,Chandigarh,312.61,7.5T,10,1,0,15164.15
Hanumangarh,Damoh,1074.34,3.5T,11,0,0,37164.38
Navsari,Hubli,831.06,18T,14,0,1,53183.35
Hajipur,Kakinada,1275.58,12T,11,1,0,68211.97
Ajmer,Moradabad,662.39,7.5T,8,1,1,29816.13
Khambhat,Erode,1678.85,25T,4,1,0,122168.78
Guwahati,Allahabad,1375.75,7.5T,13,1,0,61765.29
Khambhat,Ambala,1258.2,25T,6,1,1,93574.62
Purnia,Bihar Sharif,283.62,18T,4,1,0,19046.16
Meerut,Rewa,793.68,3.5T,16,1,0,30322.84
Eluru,Vizianagaram,373.34,7.5T,19,0,1,18560.42
Farrukhabad,Rajnandgaon,894.59,25T,13,1,0,70603.95
Bidar,Balasore,1398.4,3.5T,7,0,0,46893.14
Mathura,Ozhukarai,2175.13,18T,13,1,0,143143.51
Coimbatore,Dhulian,2432.12,12T,14,0,0,139746.99
Bharuch,Gandhidham,440.99,25T,4,0,0,32731.66
Bardhaman,Tiruchirappalli,2143.45,25T,19,1,1,169812.54
Kollam,Kanchipuram,694.81,12T,11,1,0,37864.25
Bahadurgarh,Hathras,217.52,18T,1,1,1,15350.41
Shimla,Muzaffarnagar,238.32,18T,10,0,0,16026.55
Ichalkaranji,Nandurbar,648.16,12T,13,1,0,37128.62
Varanasi,Chhapra,254.61,7.5T,2,0,1,12012.4
Gwalior,Gandhidham,1198.94,18T,1,0,1,81004.76
Pune,Bahraich,1652.45,18T,9,1,1,103439.41
Bhubaneswar,Rourkela,304.12,25T,5,0,1,22410.25
Raipur,Arrah,730.45,12T,16,1,0,39477.12
Raiganj,Kasaragod,2575.29,18T,16,1,0,162512.72
Jammu,Tirunelveli,3355.96,3.5T,7,1,0,113443.03
Aurangabad,Karnal,1380.13,18T,12,0,1,92010.36
Cuddalore,Chandigarh,2668.51,25T,8,1,0,197971.92
Krishnanagar,Rourkela,530.29,7.5T,6,1,0,24685.83
Phusro,Bellary,1737.49,7.5T,15,0,0,79190.48
Morena,Ludhiana,679.45,3.5T,16,0,1,25972.62
Yamunanagar,Tiruchirappalli,2690.63,12T,19,0,1,154012.96
Shivpuri,Dankuni,1523.35,12T,17,0,0,86506.88
Kolkata,Haldia,81.2,18T,4,1,1,6314.95
Chittoor,Ranaghat,1905.98,3.5T,18,0,0,67799.82
Chennai,Latur,900.64,12T,1,0,0,50473.97
Aligarh,Gorakhpur,750.09,25T,19,0,0,58703.61
Jalandhar,Kannur,2699.05,25T,16,0,1,213185.32
Ratlam,Lucknow,953.73,7.5T,11,1,1,44175.4
Malda,Karnal,1677.62,25T,10,0,1,121200.38
Davangere,Farrukhabad,1863.08,12T,2,1,0,104370.06
Jammu,Meerut,652.61,18T,5,0,0,43817.26
Bongaigaon,Gwalior,1714.34,7.5T,12,1,0,80852.47
Jabalpur,Amritsar,1370.74,7.5T,1,1,0,64350.22
Kurnool,Jodhpur,1603.24,18T,17,0,1,104552.21
Rampur,Aligarh,179.48,25T,15,1,0,14836.9
Dindigul,Bulandshahr,2503.07,18T,6,1,1,165238.46
Gudiyatham,Rajkot,1714.55,12T,15,0,0,96995.77
Sitapur,Kasaragod,2233.32,12T,10,1,0,126618.85
Asansol,Proddatur,1700.46,12T,15,1,1,90895.68
Jammu,Bhind,1014.77,12T,7,0,0,57833.67
Dankuni,Chhapra,653.09,25T,19,1,0,51008.74
Nellore,Nagercoil,939.08,7.5T,17,1,1,42958.94
Darbhanga,Chandrapur,1250.33,3.5T,13,1,0,45493.25
Malegaon,Bengaluru,1135.02,12T,4,1,0,60076.78
Yamunanagar,Jaipur,491.29,3.5T,14,0,0,18638.69
Yamunanagar,Bhubaneswar,1808.69,7.5T,16,1,0,78751.54
Akola,Ajmer,862.79,12T,7,0,1,49714.8
Kota,Dimapur,2483.72,7.5T,11,1,0,113356.36
Pilibhit,Panipat,409.54,7.5T,1,1,1,18628.97
Tuticorin,Bhusawal,1734.53,25T,7,1,0,130460.67
Khammam,Allahabad,1160.23,25T,18,1,0,86854.56
Tenali,Rewa,1154.89,25T,9,1,0,89906.9
Kharagpur,Thiruvananthapuram,2391.33,25T,1,0,1,188457.64
Raichur,Sikar,1610.69,7.5T,14,1,0,71075.98
Thiruvananthapuram,Malegaon,1702.4,3.5T,19,1,1,63224.93
Rajkot,Burhanpur,764.37,3.5T,2,1,1,26590.97
Jhansi,Visakhapatnam,1255.4,25T,5,1,0,93681.58
Katihar,Proddatur,1951.2,12T,16,0,1,109056.69
Nabadwip,Jorhat,933.05,12T,14,1,1,52830.16
Pimpri-Chinchwad,Arrah,1786.78,7.5T,16,1,0,81773.27
Orai,Bulandshahr,399.87,7.5T,13,0,1,19535.1
Sonipat,Kochi,2638.39,3.5T,16,1,1,94762.48
Bhusawal,Nizamabad,457.62,18T,2,0,1,30625.2
Siliguri,Chhapra,526.21,25T,6,0,0,38313.87
Indore,Aligarh,782.24,18T,18,0,1,54430.74
Malegaon,Jorhat,2862.12,7.5T,13,1,1,131557.31
Durgapur,Hanumangarh,1995.38,18T,15,0,0,124456.84
Nandyal,Mangalore,616.34,12T,15,0,1,33727.67
Rourkela,Mirzapur,509.72,3.5T,8,0,0,18302.6
Batala,Haridwar,485.66,25T,3,0,0,38283.05
Rajkot,Pimpri-Chinchwad,659.31,25T,9,1,0,52224.1
Karimnagar,Tuticorin,1349.38,3.5T,12,0,0,46939.53
Bhubaneswar,Bhopal,1237.54,7.5T,9,1,0,54498.7
Bellary,Indore,1062.05,12T,10,1,1,58356.56
Rewa,Kishangarh,938.75,3.5T,4,0,1,34381.71
Ujjain,Chandigarh,1057.67,25T,18,1,1,80059.37
Guntur,Hassan,756.14,18T,8,1,1,48913.06
Sri Ganganagar,Salem,2600.36,25T,16,0,1,200663.8
Shivpuri,Purnia,1361.99,12T,13,0,1,76518.7
Ratlam,Amravati,505.3,3.5T,8,0,1,18758.44
Pimpri-Chinchwad,Jhansi,1154.57,7.5T,12,0,1,54156.61
Junagadh,Jalgaon,711.87,18T,12,1,1,48194.75
Sri Ganganagar,Rajnandgaon,1575.32,18T,18,0,0,102820.89
Chittorgarh,Ramagundam,1083.85,3.5T,15,0,0,37958.94
Morena,Khammam,1317.44,25T,11,0,1,98373.02
Dehradun,Thiruvananthapuram,3027.51,18T,8,1,0,194654.54
Sitapur,Vadodara,1271.45,3.5T,11,1,1,44588.32
Navsari,Kasaragod,1204.07,25T,16,1,1,95756.18
Agra,Kota,403.25,12T,2,1,0,22244.45
Vijayawada,Calicut,993.1,12T,19,1,0,53997.08
Siliguri,Komarapalayam,2588.75,7.5T,2,0,0,111882.27
Visakhapatnam,Tuticorin,1424.86,3.5T,13,0,1,48582.33
Budaun,Nandurbar,1145.2,3.5T,9,1,1,41119.25
Silchar,Munger,877.69,18T,3,1,1,60639.13
Roorkee,Khandwa,1134.15,12T,16,0,0,63535.81
Aizawl,Farrukhabad,1890.22,12T,5,1,1,103795.33
Gudiyatham,Kollam,643.47,25T,7,0,0,49527.04
Damoh,Bareilly,628.39,7.5T,17,1,0,28948.75
Tirupur,Warangal,1003.11,18T,15,1,0,68446.94
Yamunanagar,Kadapa,2183.77,3.5T,16,1,0,74631.35
Salem,Bhavnagar,1630.35,12T,10,1,1,88654.02
Sagar,Erode,1739.84,18T,11,0,0,112585.09
Tiruchirappalli,Darbhanga,2348.36,12T,5,0,1,125272.91
Ranchi,Jalpaiguri,645.83,18T,11,1,1,43796.89
Kanchipuram,Solapur,852.01,7.5T,19,0,1,40438.77
Agartala,Bhagalpur,627.13,18T,12,0,1,41791.23
Kota,Komarapalayam,1926.99,3.5T,5,1,1,69036.15
Gorakhpur,Dindigul,2394.48,7.5T,16,0,1,106124.53
Meerut,Mahbubnagar,1698.2,3.5T,17,1,0,62280.96
Kishangarh,Damoh,741.84,7.5T,17,0,1,34822.8
Khandwa,Dhulian,1656.61,25T,18,0,0,119820.0
Hoshiarpur,Farrukhabad,767.93,25T,11,0,0,55378.2
Banda,Gadag,1539.03,25T,5,0,0,114407.48
Hazaribagh,Hardoi,866.54,7.5T,12,1,0,39925.79
Bareilly,Dindigul,2505.55,3.5T,11,1,1,86226.14
Etawah,Lakhimpur,292.91,18T,1,0,1,19905.3
Kanchipuram,Mumbai,1283.38,18T,9,1,1,85187.89
Arrah,Bhubaneswar,747.57,18T,16,0,0,48072.09
Satna,Latur,1043.73,7.5T,10,1,1,47925.5
Habra,Satna,1113.5,12T,19,0,0,64311.81
Pimpri-Chinchwad,Dehradun,1725.03,25T,2,1,0,129132.48
Mysore,Korba,1633.58,18T,11,0,0,109984.32
Durg,Tirunelveli,1799.01,12T,6,0,1,97322.09
Gandhidham,Ambala,1369.78,3.5T,6,1,1,51434.14
Kannur,Bharuch,1402.67,12T,19,0,1,74989.91
Mughalsarai,Mahbubnagar,1380.42,12T,7,1,0,76129.71
Ludhiana,Haridwar,346.45,25T,13,1,0,27222.81
Gorakhpur,Agra,746.64,7.5T,16,0,1,34778.54
Dindigul,Chhindwara,1627.44,7.5T,12,0,0,72578.35
Bahraich,Haldwani,368.71,3.5T,18,1,0,13673.74
Sonipat,Pimpri-Chinchwad,1500.67,12T,15,0,1,80233.01
Munger,Bhagalpur,73.99,7.5T,4,1,1,4157.12
Nanded,Gwalior,989.61,7.5T,18,1,1,46614.56
Yamunanagar,Beawar,692.64,18T,17,1,0,44770.02
Karnal,Patna,1264.96,25T,19,1,0,101028.39
Varanasi,Bhilwara,1163.69,3.5T,13,1,0,41408.49
Latur,Patiala,1655.6,3.5T,8,0,0,58416.35
Eluru,Jaipur,1595.63,25T,15,1,0,116365.28
Sambhal,Hajipur,1004.78,3.5T,19,0,1,34939.39
Nandurbar,Bhopal,511.66,7.5T,1,1,1,24949.74
Tenali,Raiganj,1664.19,3.5T,6,0,0,57095.7
Muzaffarpur,Junagadh,2164.51,18T,3,1,0,147887.21
Rudrapur,Hisar,512.82,7.5T,8,1,0,24475.73
Sirsa,Ichalkaranji,1781.12,7.5T,3,0,1,82164.94
Faridabad,Pilibhit,347.44,7.5T,14,1,0,16301.13
Raebareli,Bhubaneswar,1040.94,3.5T,2,1,1,36890.14
Krishnanagar,Gadag,2099.49,25T,18,1,1,166689.81
Dibrugarh,Hassan,3292.71,25T,6,1,0,244096.29
Robertsonpet,Vizianagaram,1008.31,3.5T,16,0,0,37407.31
Bidar,Pimpri-Chinchwad,522.26,12T,5,0,1,29850.04
Jodhpur,Tirupati,1961.79,12T,8,1,1,110794.2
Navsari,Jaunpur,1507.59,25T,17,1,1,118363.15
Muzaffarpur,Rudrapur,916.46,12T,3,0,1,50993.99
Mahbubnagar,Vidisha,940.61,12T,18,0,0,53658.78
Tumkur,Satna,1645.23,7.5T,4,1,0,77876.26
Hospet,Dimapur,2822.12,3.5T,17,1,0,99761.84
Rajkot,Muzaffarnagar,1381.17,12T,9,0,0,79120.53
Hubli,Alappuzha,831.27,12T,19,1,0,49517.68
Sangli-Miraj-Kupwad,Bhavnagar,762.31,7.5T,6,1,0,35975.46
Nandurbar,Ajmer,706.22,3.5T,1,0,1,26158.09
Tuticorin,Shahjahanpur,2664.28,18T,12,1,1,175101.78
Darbhanga,Vellore,2057.35,18T,17,0,0,129030.73
Shimla,Rampur,411.36,12T,17,1,0,23913.49
Sagar,Bhiwandi,1011.47,3.5T,15,0,1,35370.98
Indore,Guna,332.49,12T,8,0,1,18612.22
Agra,Gadag,1662.36,12T,3,1,1,90597.37
Hospet,Jalgaon,804.51,18T,13,0,1,55217.92
Korba,Gulbarga,1077.39,25T,5,1,1,78698.4
Kishangarh,Balasore,1816.6,25T,8,0,1,133253.73
Hassan,Katihar,2357.39,7.5T,16,1,1,104592.58
Bijapur,Raebareli,1513.79,3.5T,3,0,0,51314.25
Ahmedabad,Gwalior,896.0,3.5T,5,1,1,32846.91
Bhubaneswar,Ongole,1041.01,3.5T,12,0,1,36505.6
Tenali,Bhiwani,1851.85,18T,10,1,1,117977.57
Tirunelveli,Jhansi,2324.64,25T,11,1,0,180758.66
Adoni,Hospet,132.35,12T,7,1,0,7766.96
Sonipat,Jhansi,524.59,18T,19,0,0,34478.25
Rohtak,Ongole,1918.28,3.5T,16,1,0,67716.3
Shivpuri,Krishnanagar,1529.82,25T,6,0,1,114363.36
Bhavnagar,Gwalior,1040.45,7.5T,5,0,1,46641.76
Bokaro Steel City,Ujjain,1439.92,25T,1,0,0,109334.79
Bellary,Varanasi,1643.06,25T,5,1,1,120769.18
Chittoor,Erode,323.41,25T,7,0,1,24463.8
Vaniyambadi,Bhubaneswar,1452.9,25T,15,1,1,111558.77
Chandigarh,Faridabad,332.67,12T,5,1,1,18502.48
Tonk,Udupi,1785.33,12T,11,1,0,102454.98
Surat,Solapur,647.53,12T,7,0,1,37121.14
Kota,Haldia,1748.84,18T,12,1,0,119361.5
Nashik,Ambur,1211.31,12T,7,1,0,66955.75
Silchar,Ranaghat,628.51,25T,7,1,1,46099.63
Bellary,Bhiwani,1898.43,12T,9,1,1,110055.07
Bidar,Thanjavur,1014.62,3.5T,9,0,1,36458.17
Bhavnagar,Faridabad,1167.76,7.5T,16,1,0,56400.64
